hdb_town, lat, lng
"ANG MO KIO",1.369115, 103.845434     
"BEDOK",1.323604,103.927341
"BISHAN",1.352585,103.835212
"BUKIT BATOK",1.359029,103.763680
"BUKIT MERAH",1.281905,103.823918
"BUKIT PANJANG",1.377414,103.771950
"BUKIT TIMAH",1.354816,103.776298  
"CENTRAL AREA",1.291667,103.85
"CHOA CHU KANG",1.383980,103.746961
"CLEMENTI",1.316181,103.764938
"GEYLANG",1.320054,103.891775
"HOUGANG",1.361218,103.886253
"JURONG EAST",1.332857,103.743552
"JURONG WEST",1.340390,103.708988
"KALLANG/WHAMPOA",1.321393,103.864015
"MARINE PARADE",1.301969,103.897082
"PASIR RIS",1.372094,103.947373
"PUNGGOL",1.398446,103.907205
"QUEENSTOWN",1.294166,103.786127
"SEMBAWANG",1.449111,103.818495
"SENGKANG",1.386812,103.891443
"SERANGOON",1.355357,103.867871
"TAMPINES",1.349591,103.956788
"TOA PAYOH",1.334304,103.856327
"WOODLANDS",1.438192,103.788960
"YISHUN",1.430368,103.835363
